id,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
2087, Q5,2015,Manual,24380,Diesel,200,47.9,2.0
2088, Q3,2016,Manual,29897,Petrol,125,50.4,1.4
2089, A1,2017,Manual,14723,Petrol,150,55.4,1.4
2090, A3,2016,Manual,17856,Petrol,20,60.1,1.4
2091, A4,2019,Automatic,4000,Diesel,145,49.6,2.0
2092, A5,2020,Semi-Auto,5000,Petrol,145,40.4,2.0
2093, A1,2016,Manual,25010,Petrol,30,58.9,1.4
2094, TT,2018,Semi-Auto,17648,Petrol,145,34.5,2.5
2095, Q5,2016,Semi-Auto,37714,Diesel,205,47.1,2.0
2096, A1,2013,Manual,81012,Diesel,20,68.9,2.0
2097, RS7,2014,Automatic,56000,Petrol,555,28.8,4.0
2098, Q5,2017,Semi-Auto,33916,Petrol,150,40.9,2.0
2099, A1,2015,Manual,28456,Petrol,30,55.4,1.4
2100, Q3,2020,Automatic,1500,Petrol,145,30.7,0.0
2101, A5,2017,Manual,10987,Diesel,145,68.9,2.0
2102, Q5,2013,Automatic,39780,Diesel,195,47.1,2.0
2103, A4,2017,Semi-Auto,11627,Petrol,30,53.3,2.0
2104, Q3,2019,Semi-Auto,2790,Diesel,145,45.6,2.0
2105, Q5,2019,Semi-Auto,5123,Diesel,145,38.2,2.0
2106, A6,2016,Manual,37729,Diesel,30,64.2,2.0
2107, A8,2015,Automatic,40275,Diesel,200,47.9,3.0
2108, Q2,2017,Manual,22501,Diesel,145,64.2,1.6
2109, Q8,2019,Automatic,10000,Diesel,145,33.6,3.0
2110, A1,2016,Manual,21516,Petrol,30,58.9,1.4
2111, Q5,2015,Automatic,48634,Diesel,200,47.1,2.0
2112, A6,2015,Semi-Auto,49039,Diesel,165,50.4,3.0
2113, Q2,2017,Semi-Auto,4649,Petrol,145,52.3,1.4
2114, Q3,2019,Automatic,4500,Diesel,145,45.6,2.0
2115, A3,2016,Manual,36603,Petrol,20,60.1,1.4
2116, Q5,2020,Automatic,3121,Petrol,145,32.1,2.0
2117, A3,2019,Semi-Auto,4723,Petrol,145,34.9,2.0
2118, A4,2017,Semi-Auto,32000,Diesel,145,57.6,2.0
2119, A6,2019,Automatic,9647,Diesel,150,50.4,2.0
2120, Q3,2019,Manual,4750,Petrol,145,40.9,1.5
2121, A1,2015,Manual,21131,Diesel,0,80.7,1.6
2122, A5,2010,Automatic,90000,Petrol,235,39.8,2.0
2123, A5,2014,Automatic,62675,Diesel,125,57.6,3.0
2124, A4,2014,Semi-Auto,48500,Diesel,125,58.9,2.0
2125, A3,2005,Manual,104000,Petrol,240,38.1,2.0
2126, A3,2017,Manual,24200,Petrol,145,54.3,1.5
2127, A5,2019,Automatic,10,Diesel,145,51.4,2.0
2128, A4,2019,Semi-Auto,6212,Diesel,150,44.8,2.0
2129, A3,2014,Manual,30126,Diesel,20,68.9,2.0
2130, A1,2017,Manual,22300,Diesel,145,76.3,1.6
2131, A4,2017,Manual,18300,Diesel,145,74.3,2.0
2132, A4,2019,Automatic,2475,Diesel,145,50.4,2.0
2133, Q7,2013,Automatic,69638,Diesel,300,39.2,3.0
2134, A5,2019,Semi-Auto,4750,Petrol,145,39.8,2.0
2135, TT,2017,Manual,13506,Petrol,145,47.1,1.8
2136, A1,2016,Manual,18272,Petrol,0,67.3,1.0
2137, A8,2018,Automatic,7919,Diesel,145,50.4,3.0
2138, Q3,2016,Manual,32704,Diesel,30,60.1,2.0
2139, A6,2017,Semi-Auto,41672,Diesel,20,64.2,2.0
2140, A5,2018,Semi-Auto,4512,Petrol,150,36.7,3.0
2141, A3,2013,Automatic,51441,Petrol,125,50.4,1.8
2142, A4,2018,Manual,13811,Petrol,145,52.3,1.4
2143, A3,2019,Automatic,6000,Petrol,145,33.2,2.0
2144, Q8,2019,Automatic,10200,Diesel,145,33.6,3.0
2145, A1,2016,Manual,14390,Petrol,30,56.5,1.4
2146, A1,2016,Manual,34291,Diesel,0,76.3,1.6
2147, A3,2016,Automatic,45188,Diesel,20,72.4,1.6
2148, A3,2008,Manual,136000,Diesel,205,48.7,2.0
2149, Q3,2019,Automatic,67,Petrol,145,38.2,1.5
2150, Q5,2018,Semi-Auto,21017,Petrol,145,34.0,3.0
2151, A5,2019,Automatic,4000,Petrol,145,37.7,2.0
2152, A3,2019,Manual,4352,Diesel,145,51.4,1.6
2153, A3,2016,Manual,44077,Petrol,125,52.3,1.4
2154, Q3,2016,Manual,34396,Diesel,145,52.3,2.0
2155, A3,2016,Manual,34979,Petrol,30,56.5,1.2
2156, Q8,2019,Semi-Auto,8450,Diesel,145,33.6,3.0
2157, A3,2019,Semi-Auto,5000,Petrol,145,34.5,2.0
2158, A1,2015,Automatic,40000,Petrol,30,58.9,1.4
2159, Q2,2017,Manual,29500,Petrol,150,55.4,1.0
2160, Q3,2019,Manual,5000,Petrol,145,40.9,1.5
2161, A3,2017,Manual,21159,Petrol,30,56.5,1.4
2162, Q2,2019,Manual,1000,Diesel,145,49.6,1.6
2163, Q3,2017,Semi-Auto,19921,Petrol,145,42.2,2.0
2164, A3,2019,Semi-Auto,8564,Petrol,145,34.9,2.0
2165, A3,2015,Manual,35000,Petrol,205,40.4,2.0
2166, A3,2017,Manual,29994,Diesel,145,65.7,2.0
2167, A1,2016,Manual,17271,Petrol,30,55.4,1.4
2168, Q8,2020,Semi-Auto,2000,Diesel,145,32.8,3.0
2169, A1,2017,Manual,22488,Petrol,0,67.3,1.0
2170, Q5,2015,Manual,36435,Diesel,200,47.9,2.0
2171, TT,2016,Semi-Auto,19411,Petrol,160,43.5,2.0
2172, A4,2017,Manual,11966,Petrol,145,51.4,1.4
2173, A4,2017,Automatic,28367,Petrol,145,49.6,1.4
2174, Q2,2017,Semi-Auto,11920,Petrol,150,54.3,1.4
2175, Q5,2016,Semi-Auto,77432,Diesel,200,47.1,2.0
2176, Q3,2017,Semi-Auto,23932,Petrol,150,47.9,1.4
2177, Q3,2020,Automatic,1330,Petrol,145,30.7,0.0
2178, A3,2016,Manual,38935,Petrol,20,60.1,1.4
2179, A3,2015,Automatic,29098,Diesel,20,70.6,1.6
2180, Q3,2013,Manual,88445,Diesel,165,49.6,2.0
2181, Q5,2013,Semi-Auto,76859,Diesel,205,47.1,2.0
2182, Q3,2016,Automatic,34811,Diesel,145,52.3,2.0
2183, A1,2016,Manual,49470,Petrol,30,55.4,1.4
2184, A1,2016,Manual,21263,Diesel,0,80.7,1.6
2185, A6,2016,Manual,21660,Diesel,30,61.4,2.0
2186, A3,2016,Automatic,63180,Diesel,125,57.6,2.0
2187, A3,2016,Manual,24950,Petrol,30,58.9,1.4
2188, Q5,2020,Semi-Auto,1117,Diesel,145,38.2,2.0
2189, A1,2015,Manual,20567,Petrol,30,57.6,1.4
2190, A4,2019,Semi-Auto,12350,Diesel,145,47.9,2.0
2191, A4,2015,Manual,38787,Diesel,145,55.4,2.0
2192, A3,2015,Manual,55122,Diesel,0,83.1,1.6
2193, Q7,2018,Automatic,7650,Diesel,145,32.8,3.0
2194, Q2,2017,Manual,34000,Petrol,145,50.4,1.4
2195, A3,2015,Manual,52146,Diesel,0,83.1,1.6
2196, A4,2018,Semi-Auto,6800,Petrol,145,36.7,3.0
2197, Q3,2016,Manual,59816,Diesel,145,52.3,2.0
2198, A4,2017,Semi-Auto,26846,Diesel,150,56.5,2.0
2199, Q3,2019,Semi-Auto,7199,Petrol,145,32.1,2.0
2200, A4,2015,Automatic,35000,Diesel,30,67.3,2.0
2201, A1,2016,Manual,30001,Petrol,30,56.5,1.4
2202, Q5,2019,Automatic,6665,Petrol,145,32.1,2.0
2203, A1,2017,Manual,27179,Diesel,0,76.3,1.6
2204, A4,2016,Semi-Auto,46899,Diesel,30,62.8,2.0
2205, A4,2017,Manual,14417,Diesel,0,74.3,2.0
2206, A5,2017,Semi-Auto,33031,Petrol,235,37.7,3.0
2207, Q5,2018,Semi-Auto,26974,Petrol,145,40.4,2.0
2208, A5,2017,Semi-Auto,15751,Diesel,145,65.7,2.0
2209, Q7,2018,Automatic,13213,Diesel,145,37.2,4.0
2210, A3,2019,Semi-Auto,5789,Diesel,145,52.3,1.6
2211, Q5,2019,Semi-Auto,50,Petrol,145,32.1,2.0
2212, A4,2017,Semi-Auto,45100,Petrol,160,45.6,2.0
2213, A4,2008,Manual,91748,Diesel,160,51.4,2.0
2214, RS4,2014,Semi-Auto,70823,Petrol,555,26.4,4.2
2215, Q3,2017,Automatic,47482,Petrol,150,47.9,1.4
2216, A1,2014,Manual,30287,Petrol,125,53.3,1.4
2217, A6,2020,Semi-Auto,2500,Diesel,145,37.7,3.0
2218, A3,2019,Automatic,5310,Petrol,145,43.5,1.5
2219, S3,2016,Semi-Auto,34500,Petrol,200,40.9,2.0
2220, Q2,2019,Manual,3786,Petrol,145,43.5,1.5
2221, A5,2016,Manual,30748,Diesel,145,54.3,2.0
2222, A4,2020,Semi-Auto,1600,Petrol,145,40.9,2.0
2223, A5,2009,Manual,73848,Petrol,235,39.8,1.8
2224, TT,2016,Manual,52653,Diesel,30,62.8,2.0
2225, Q2,2017,Semi-Auto,12368,Petrol,145,52.3,1.4
2226, A3,2015,Manual,89060,Diesel,30,67.3,2.0
2227, A1,2019,Semi-Auto,5000,Petrol,145,40.9,2.0
2228, A3,2016,Automatic,48573,Hybrid,0,176.6,1.4
2229, Q3,2016,Manual,28646,Diesel,145,51.4,2.0
2230, Q7,2019,Semi-Auto,7500,Diesel,145,33.2,3.0
2231, Q3,2017,Manual,17867,Petrol,145,49.6,1.4
2232, Q5,2013,Semi-Auto,48282,Diesel,260,41.5,3.0
2233, A1,2020,Semi-Auto,5000,Petrol,145,44.8,1.5
2234, Q3,2016,Manual,52074,Diesel,145,56.5,2.0
2235, A1,2016,Manual,43000,Petrol,30,58.9,1.4
2236, Q3,2019,Manual,3000,Diesel,145,42.8,2.0
2237, A6,2017,Automatic,82221,Diesel,145,54.3,3.0
2238, A4,2017,Manual,26650,Petrol,145,48.7,1.4
2239, A1,2019,Manual,10,Petrol,145,48.7,1.0
2240, A3,2013,Manual,59451,Diesel,20,67.3,2.0
2241, A1,2016,Manual,11892,Petrol,0,67.3,1.0
2242, Q3,2019,Manual,4500,Diesel,145,40.9,2.0
2243, S4,2019,Automatic,5600,Diesel,145,40.9,3.0
2244, A6,2016,Automatic,24744,Diesel,125,56.5,3.0
2245, Q3,2013,Semi-Auto,52765,Diesel,200,47.9,2.0
2246, A4,2019,Semi-Auto,12853,Petrol,145,38.2,2.0
2247, Q3,2019,Manual,6000,Petrol,145,40.9,1.5
2248, A3,2016,Manual,19795,Petrol,30,58.9,1.4
2249, A1,2016,Manual,48297,Diesel,0,80.7,1.6
2250, A4,2016,Semi-Auto,27800,Diesel,125,58.9,3.0
2251, A7,2015,Semi-Auto,42687,Diesel,150,54.3,3.0
2252, A8,2019,Semi-Auto,8613,Petrol,145,37.7,3.0
2253, A5,2020,Semi-Auto,6000,Diesel,145,48.7,2.0
2254, A5,2019,Automatic,6000,Petrol,145,39.8,2.0
2255, A1,2019,Semi-Auto,1938,Petrol,145,47.1,1.0
2256, A3,2017,Automatic,19250,Petrol,145,56.5,1.5
2257, A1,2019,Manual,5696,Petrol,145,50.4,0.0
2258, A7,2019,Automatic,4700,Diesel,145,35.8,3.0
2259, A4,2019,Automatic,500,Diesel,145,50.4,2.0
2260, A4,2014,Manual,52000,Diesel,30,61.4,2.0
2261, A1,2017,Manual,44330,Diesel,0,76.3,1.6
2262, Q3,2014,Manual,83412,Diesel,150,54.3,2.0
2263, A7,2015,Automatic,55457,Diesel,165,52.3,3.0
2264, A1,2019,Semi-Auto,5432,Petrol,145,44.8,1.0
2265, Q8,2019,Semi-Auto,6000,Diesel,145,32.8,3.0
2266, A5,2019,Semi-Auto,1475,Petrol,145,39.8,2.0
2267, A3,2016,Manual,53927,Diesel,20,67.3,2.0
2268, Q3,2019,Manual,100,Diesel,145,42.8,2.0
2269, A5,2019,Semi-Auto,1822,Petrol,145,39.8,2.0
2270, A3,2017,Manual,21396,Petrol,20,60.1,1.4
2271, A4,2017,Semi-Auto,28325,Diesel,30,64.2,3.0
2272, Q3,2017,Semi-Auto,35035,Diesel,145,55.4,2.0
2273, A5,2019,Automatic,2776,Diesel,145,45.6,2.0
2274, A3,2016,Manual,12067,Petrol,20,60.1,1.4
2275, A3,2019,Semi-Auto,4891,Diesel,145,51.4,2.0
2276, A1,2016,Manual,28760,Petrol,30,55.4,1.4
2277, A3,2003,Automatic,101000,Diesel,240,44.5,1.9
2278, A1,2016,Manual,32969,Petrol,30,55.4,1.4
2279, A3,2019,Semi-Auto,2480,Petrol,145,34.9,2.0
2280, Q3,2019,Automatic,13639,Petrol,145,38.2,1.5
2281, A1,2017,Manual,6950,Petrol,145,56.5,1.4
2282, A6,2016,Automatic,40984,Diesel,145,56.5,2.0
2283, Q3,2019,Semi-Auto,14768,Petrol,145,31.7,2.0
2284, A1,2015,Manual,54000,Diesel,0,80.7,1.6
2285, A1,2016,Manual,31479,Petrol,30,57.6,1.4
2286, Q3,2016,Automatic,22000,Petrol,200,40.4,2.0
2287, A1,2012,Manual,65794,Diesel,0,74.3,1.6
2288, A4,2019,Manual,2069,Petrol,145,41.5,2.0
2289, Q7,2016,Automatic,43380,Diesel,200,47.9,3.0
2290, Q5,2017,Semi-Auto,20870,Diesel,145,55.4,2.0
2291, A6,2013,Semi-Auto,67636,Diesel,260,42.2,3.0
2292, A4,2020,Automatic,6685,Diesel,145,39.2,3.0
2293, A5,2017,Manual,28000,Diesel,145,67.3,2.0
2294, A4,2020,Semi-Auto,4200,Diesel,145,40.9,3.0
2295, Q5,2019,Automatic,9377,Diesel,150,38.2,2.0
2296, A4,2016,Automatic,29273,Diesel,0,72.4,2.0
2297, A5,2014,Manual,42953,Diesel,20,64.2,2.0
2298, A5,2017,Automatic,36310,Petrol,145,45.6,2.0
2299, Q3,2015,Automatic,22929,Petrol,200,42.8,2.0
2300, Q5,2018,Automatic,13558,Diesel,150,48.7,3.0
2301, Q5,2019,Semi-Auto,5808,Diesel,145,39.2,2.0
2302, A6,2016,Manual,50900,Diesel,30,65.7,2.0
2303, RS6,2016,Automatic,24000,Petrol,325,29.4,4.0
2304, A3,2013,Manual,98940,Diesel,0,74.3,1.6
2305, Q7,2018,Semi-Auto,16416,Diesel,145,33.2,3.0
2306, A3,2019,Manual,4234,Diesel,145,54.3,1.6
2307, Q3,2017,Semi-Auto,48747,Petrol,150,47.9,1.4
2308, Q3,2016,Manual,22541,Diesel,145,52.3,2.0
2309, A6,2013,Automatic,81459,Diesel,145,55.4,2.0
2310, TT,2016,Manual,43000,Petrol,165,46.3,1.8
2311, A3,2018,Manual,6940,Petrol,145,54.3,1.5
2312, Q3,2014,Manual,65710,Diesel,165,49.6,2.0
2313, A1,2018,Manual,18199,Petrol,145,51.4,1.0
2314, A1,2015,Manual,17152,Petrol,30,56.5,1.4
2315, A6,2015,Semi-Auto,55220,Diesel,30,64.2,2.0
2316, A3,2015,Automatic,42248,Petrol,200,39.8,2.0
2317, A5,2017,Manual,7431,Diesel,150,68.9,2.0
2318, A6,2015,Manual,25000,Diesel,30,65.7,2.0
2319, A1,2019,Manual,1800,Petrol,145,47.9,1.0
2320, Q8,2018,Automatic,7000,Diesel,145,33.6,3.0
2321, A1,2018,Manual,18876,Petrol,145,55.4,1.4
2322, Q3,2020,Semi-Auto,4432,Petrol,150,39.2,1.5
2323, A5,2019,Automatic,6445,Diesel,145,48.7,2.0
2324, A5,2019,Manual,6000,Petrol,145,47.1,2.0
2325, Q2,2019,Automatic,3800,Diesel,150,46.3,1.6
2326, A1,2016,Manual,29526,Petrol,0,67.3,1.0
2327, A3,2015,Manual,37402,Diesel,20,68.9,2.0
2328, Q3,2016,Manual,18419,Petrol,125,50.4,1.4
2329, TT,2014,Manual,25414,Petrol,150,47.9,2.0
2330, A1,2016,Manual,11180,Petrol,30,55.4,1.4
2331, A4,2016,Manual,69600,Diesel,30,64.2,2.0
2332, Q5,2019,Semi-Auto,6000,Diesel,145,36.2,2.0
2333, A5,2015,Manual,81337,Diesel,30,61.4,2.0
2334, A4,2013,Semi-Auto,51000,Diesel,150,53.3,2.0
2335, A3,2018,Manual,10500,Petrol,150,60.1,1.0
2336, Q2,2017,Semi-Auto,36000,Petrol,145,52.3,1.4
2337, A8,2018,Semi-Auto,7500,Diesel,145,50.4,3.0
2338, A4,2015,Manual,69647,Diesel,30,64.2,2.0
2339, A4,2020,Automatic,3911,Diesel,145,40.4,3.0
2340, A6,2019,Automatic,18000,Diesel,145,47.9,2.0
2341, A1,2015,Manual,22319,Petrol,0,67.3,1.0
2342, A4,2017,Automatic,20103,Diesel,145,70.6,2.0
2343, A8,2018,Automatic,1000,Diesel,145,50.4,3.0
2344, A1,2016,Manual,43000,Petrol,30,57.6,1.4
2345, TT,2017,Semi-Auto,11621,Petrol,150,42.8,2.0
2346, A1,2015,Manual,57397,Diesel,0,80.7,1.6
2347, A5,2020,Semi-Auto,3000,Petrol,145,40.4,2.0
2348, Q2,2019,Manual,4040,Diesel,145,49.6,1.6
2349, A3,2017,Manual,33139,Petrol,20,61.4,1.4
2350, Q5,2014,Manual,63000,Petrol,235,37.7,2.0
2351, A1,2012,Manual,19200,Petrol,30,55.4,1.2
2352, Q3,2019,Semi-Auto,5500,Diesel,145,40.9,2.0
2353, Q2,2019,Semi-Auto,4917,Petrol,145,40.9,1.5
2354, A4,2017,Semi-Auto,29747,Diesel,30,62.8,2.0
2355, A1,2018,Manual,17560,Petrol,145,54.3,1.4
2356, A3,2019,Automatic,2893,Petrol,150,42.2,1.5
2357, A6,2015,Semi-Auto,57290,Diesel,30,61.4,2.0
2358, A4,2019,Manual,1000,Petrol,145,39.2,2.0
2359, A4,2015,Manual,69130,Diesel,0,74.3,2.0
2360, A3,2014,Semi-Auto,40490,Petrol,20,60.1,1.4
2361, Q2,2019,Automatic,6994,Petrol,145,42.8,1.5
2362, A1,2017,Manual,7541,Petrol,0,67.3,1.0
2363, Q5,2020,Semi-Auto,4186,Petrol,145,32.1,2.0
2364, Q2,2019,Manual,7462,Petrol,150,42.8,1.5
2365, Q2,2019,Manual,1596,Diesel,145,49.6,1.6
2366, A4,2013,Automatic,59438,Diesel,125,58.9,2.0
2367, A6,2017,Automatic,29095,Diesel,145,55.4,2.0
2368, A3,2014,Manual,77430,Diesel,0,74.3,1.6
2369, A8,2015,Semi-Auto,52891,Diesel,205,47.9,3.0
2370, A3,2019,Manual,6600,Diesel,145,51.4,1.6
2371, Q2,2019,Manual,6500,Petrol,145,39.2,1.5
2372, A4,2013,Manual,53764,Diesel,125,60.1,2.0
2373, A6,2019,Automatic,3000,Diesel,145,35.8,3.0
2374, Q5,2013,Manual,65589,Diesel,205,47.9,2.0
2375, A5,2019,Manual,2364,Petrol,145,37.2,2.0
2376, Q7,2016,Automatic,50536,Diesel,205,47.9,3.0
2377, A1,2016,Manual,27062,Petrol,30,55.4,1.4
2378, A3,2015,Automatic,32623,Petrol,30,58.9,1.4
2379, A4,2019,Automatic,4601,Diesel,145,51.4,2.0
2380, A5,2019,Automatic,10,Petrol,145,40.4,2.0
2381, Q5,2019,Automatic,67,Diesel,145,39.2,2.0
2382, A1,2016,Manual,27400,Petrol,30,55.4,1.4
2383, A5,2018,Semi-Auto,22936,Petrol,145,52.3,1.4
2384, A3,2016,Manual,36385,Petrol,125,53.3,1.4
2385, A3,2019,Manual,12928,Diesel,150,51.4,1.6
2386, Q2,2019,Automatic,5000,Diesel,145,47.9,1.6
2387, Q3,2019,Automatic,13031,Petrol,150,31.7,2.0
2388, A4,2020,Semi-Auto,3700,Diesel,145,39.2,3.0
2389, A3,2016,Manual,33638,Diesel,20,65.7,2.0
2390, Q2,2018,Manual,10313,Petrol,145,50.4,1.4
2391, A6,2016,Semi-Auto,70000,Diesel,125,57.6,2.0
2392, Q3,2017,Semi-Auto,9480,Petrol,145,47.9,1.4
2393, Q3,2020,Manual,1553,Petrol,145,40.9,1.5
2394, Q5,2014,Manual,60173,Diesel,205,47.9,2.0
2395, A1,2015,Manual,27275,Petrol,30,55.4,1.4
2396, A3,2014,Manual,28181,Petrol,30,57.6,1.2
2397, Q3,2017,Automatic,9800,Petrol,145,42.2,2.0
2398, Q5,2019,Automatic,10,Diesel,145,39.2,2.0
2399, A6,2019,Semi-Auto,1500,Petrol,145,31.4,3.0
2400, A4,2019,Automatic,3957,Petrol,145,38.2,2.0
2401, A5,2013,Manual,59773,Diesel,30,60.1,2.0
2402, Q3,2016,Manual,24168,Diesel,160,49.6,2.0
2403, Q2,2019,Manual,9840,Petrol,150,42.8,1.5
2404, A3,2017,Manual,14607,Petrol,20,60.1,1.0
2405, A6,2016,Manual,28197,Diesel,30,61.4,2.0
2406, A6,2019,Automatic,10055,Diesel,145,47.9,2.0
2407, A4,2018,Manual,13972,Petrol,145,52.3,1.4
2408, A3,2017,Manual,32525,Diesel,20,70.6,2.0
2409, Q5,2019,Semi-Auto,6000,Petrol,145,32.1,2.0
2410, A3,2020,Manual,1850,Petrol,145,44.8,1.5
2411, Q7,2019,Automatic,7511,Diesel,145,32.8,3.0
2412, Q5,2016,Automatic,39671,Diesel,235,42.2,3.0
2413, A1,2013,Manual,60000,Petrol,30,55.4,1.2
2414, Q5,2019,Automatic,3000,Petrol,145,32.1,2.0
2415, A4,2016,Manual,85945,Diesel,30,64.2,2.0
2416, A4,2017,Manual,21903,Petrol,150,51.4,1.4
2417, Q7,2019,Semi-Auto,4813,Diesel,145,33.2,3.0
2418, A3,2019,Automatic,11878,Diesel,145,53.3,1.6
2419, Q3,2016,Semi-Auto,33072,Diesel,160,50.4,2.0
2420, Q5,2020,Semi-Auto,5480,Diesel,145,34.5,3.0
2421, A3,2019,Automatic,294,Petrol,145,34.9,2.0
2422, A3,2017,Automatic,14751,Diesel,20,72.4,1.6
2423, A1,2017,Manual,27560,Petrol,150,67.3,1.0
2424, A5,2019,Automatic,9394,Diesel,145,45.6,2.0
2425, A1,2014,Manual,47000,Diesel,0,74.3,1.6
2426, Q5,2016,Semi-Auto,33100,Diesel,235,42.8,3.0
2427, A6,2016,Automatic,40584,Diesel,160,51.4,3.0
2428, A4,2017,Semi-Auto,19860,Diesel,145,62.8,2.0
2429, A3,2017,Semi-Auto,53283,Petrol,30,56.5,1.4
2430, Q3,2015,Manual,54775,Diesel,30,61.4,2.0
2431, A6,2016,Semi-Auto,20068,Diesel,20,64.2,2.0
2432, A3,2019,Automatic,4007,Diesel,145,70.6,1.6
2433, TT,2019,Automatic,5000,Petrol,145,35.3,2.0
2434, Q5,2016,Automatic,26500,Diesel,200,47.1,2.0
2435, A4,2017,Manual,34917,Petrol,125,49.6,2.0
2436, A4,2016,Manual,45338,Petrol,145,51.4,1.4
2437, A5,2017,Semi-Auto,28241,Petrol,145,38.2,3.0
2438, A4,2017,Manual,91212,Diesel,30,64.2,2.0
2439, Q5,2019,Semi-Auto,9805,Diesel,145,38.2,2.0
2440, A4,2019,Automatic,2898,Petrol,145,39.8,2.0
2441, Q2,2018,Automatic,9571,Petrol,145,54.3,1.4
2442, Q5,2017,Semi-Auto,32090,Petrol,145,40.4,2.0
2443, A4,2018,Manual,20356,Petrol,150,51.4,1.4
2444, A3,2019,Manual,4493,Diesel,145,51.4,1.6
2445, A1,2017,Manual,33723,Petrol,0,67.3,1.0
2446, A1,2019,Automatic,3651,Petrol,150,47.9,1.0
2447, A3,2019,Automatic,16581,Petrol,150,42.2,1.5
2448, A3,2014,Semi-Auto,33000,Diesel,20,72.4,1.6
2449, Q2,2019,Automatic,5000,Diesel,145,44.8,1.6
2450, A3,2015,Manual,47687,Diesel,20,68.9,2.0
2451, A6,2016,Semi-Auto,36211,Diesel,20,64.2,2.0
2452, Q2,2018,Manual,16800,Petrol,150,52.3,1.4
2453, A3,2019,Manual,6238,Diesel,145,51.4,1.6
2454, A8,2019,Semi-Auto,100,Diesel,145,40.4,3.0
2455, Q2,2017,Manual,22379,Petrol,125,52.3,1.4
2456, Q3,2017,Manual,34617,Diesel,30,60.1,2.0
2457, A4,2017,Manual,29063,Diesel,145,70.6,2.0
2458, Q5,2020,Semi-Auto,2648,Diesel,145,38.2,2.0
2459, Q5,2019,Semi-Auto,19,Petrol,150,32.1,2.0
2460, A5,2019,Semi-Auto,12929,Diesel,145,50.4,2.0
2461, A3,2011,Manual,57750,Diesel,30,65.7,1.6
2462, A1,2015,Manual,77288,Diesel,0,74.3,1.6
2463, Q5,2019,Automatic,5456,Diesel,145,38.2,2.0
2464, A1,2017,Manual,23838,Petrol,30,56.5,1.4
2465, A1,2015,Manual,30826,Petrol,30,55.4,1.4
2466, A3,2019,Automatic,1849,Diesel,145,52.3,1.6
2467, A1,2016,Manual,29283,Petrol,0,67.3,1.0
2468, Q3,2017,Manual,39120,Petrol,125,51.4,1.4
2469, Q7,2018,Automatic,3750,Diesel,145,33.2,3.0
2470, A3,2019,Automatic,15116,Petrol,145,42.2,1.5
2471, A3,2014,Semi-Auto,87151,Diesel,30,62.8,2.0
2472, A1,2014,Manual,36478,Petrol,125,52.3,1.4
2473, A6,2016,Automatic,76070,Diesel,30,61.4,2.0
2474, A1,2018,Manual,20000,Petrol,150,67.3,1.0
2475, Q2,2020,Manual,1000,Petrol,145,43.5,1.0
2476, A3,2016,Semi-Auto,58398,Diesel,20,72.4,1.6
2477, A4,2017,Semi-Auto,4274,Petrol,145,42.8,2.0
2478, Q2,2019,Manual,3708,Petrol,150,43.5,1.5
2479, A1,2017,Manual,33406,Diesel,145,76.3,1.6
2480, Q7,2016,Semi-Auto,55039,Diesel,200,47.9,3.0
2481, A3,2015,Manual,49000,Diesel,0,83.1,1.6
2482, A1,2016,Manual,24755,Diesel,0,76.3,1.6
2483, S8,2017,Automatic,22579,Petrol,555,28.2,4.0
2484, A1,2013,Manual,33109,Petrol,30,55.4,1.2
2485, A5,2020,Semi-Auto,7015,Petrol,145,39.8,2.0
2486, A3,2015,Manual,101000,Diesel,0,74.3,1.6
2487, A4,2016,Manual,72056,Diesel,0,72.4,2.0
2488, A1,2020,Manual,3500,Petrol,145,49.6,1.0
2489, A3,2019,Automatic,5000,Diesel,145,54.3,1.6
2490, A6,2019,Semi-Auto,8735,Diesel,145,37.7,3.0
2491, Q2,2019,Semi-Auto,3302,Petrol,145,42.8,1.5
2492, A3,2020,Semi-Auto,352,Diesel,145,50.4,2.0
2493, A3,2009,Manual,152034,Diesel,150,55.4,1.9
2494, A6,2018,Semi-Auto,29535,Petrol,145,49.6,1.8
2495, A1,2019,Manual,10300,Petrol,150,50.4,1.0
2496, A5,2017,Semi-Auto,35772,Diesel,145,60.1,3.0
2497, A3,2019,Manual,6985,Diesel,145,51.4,1.6
2498, A4,2015,Manual,68899,Diesel,20,67.3,2.0
2499, A4,2019,Manual,5000,Petrol,145,40.4,2.0
2500, Q8,2019,Semi-Auto,7793,Diesel,145,32.8,3.0
2501, Q2,2019,Manual,3000,Diesel,145,49.6,1.6
2502, Q2,2019,Manual,4691,Diesel,145,47.9,1.6
2503, A4,2017,Manual,34870,Petrol,145,51.4,1.4
2504, A1,2020,Manual,3999,Petrol,145,47.9,1.0
2505, Q3,2019,Automatic,1000,Diesel,145,47.1,2.0
2506, Q5,2016,Automatic,46113,Diesel,200,47.1,2.0
2507, A1,2018,Manual,10600,Petrol,145,55.4,1.4
2508, A5,2019,Automatic,1870,Petrol,145,37.7,2.0
2509, A1,2017,Manual,27626,Petrol,150,67.3,1.0
2510, A5,2017,Automatic,8976,Diesel,145,62.8,2.0
2511, Q3,2018,Semi-Auto,9185,Petrol,145,48.7,1.4
2512, Q2,2020,Semi-Auto,1551,Petrol,145,42.2,1.5
2513, Q7,2017,Semi-Auto,15328,Diesel,300,39.2,4.0
