Gender,Education,Occupation Type,Residence Type,Experience Using Metaverse,Age,Annual Salary,Preferred Metaverse Type
other,Elementary school graduate,Construction industry,Officetel,yes,12,354964,3
female,Doctorate,Wholesale industry,Apartment,yes,58,34041,3
other,Elementary school graduate,Service industry,Multi-family home,no,3,337886,0
male,Bachelor's degree,Gas industry,Single-family home,yes,85,262960,0
male,Master's degree,Fishing industry,Apartment,no,89,199654,2
male,Bachelor's degree,Fishing industry,Apartment,yes,15,272832,0
other,Middle school graduate,Gas industry,Multiple home,yes,36,148052,0
female,Master's degree,Insurance industry,Apartment,yes,18,443420,3
other,Middle school graduate,Construction industry,Multiple home,no,73,315627,0
male,Master's degree,Manufacturing industry,Officetel,yes,3,63658,0
female,Middle school graduate,Wholesale industry,Multi-family home,no,35,348507,3
male,High school graduate,Water industry,Single-family home,no,6,27152,0
male,High school graduate,Mining,Multiple home,yes,19,496644,1
male,High school graduate,Agriculture,Townhouse,no,79,412541,0
male,Middle school graduate,Manufacturing industry,Single-family home,yes,26,217162,1
other,High school graduate,Fishing industry,Multi-family home,yes,38,175914,3
female,Bachelor's degree,Manufacturing industry,Multiple home,yes,67,505166,0
male,Middle school graduate,Construction industry,Multiple home,no,92,110270,0
female,Middle school graduate,Agriculture,Officetel,no,17,321581,1
male,Doctorate,Fishing industry,Apartment,yes,74,264021,1
other,Elementary school graduate,Repair industry,Townhouse,no,62,50905,2
male,High school graduate,Retail industry,Multiple home,no,75,258753,3
female,Bachelor's degree,Repair industry,Multi-family home,yes,77,406681,1
other,High school graduate,Service industry,Townhouse,yes,88,390714,3
other,Bachelor's degree,Retail industry,Multi-family home,yes,67,209801,2
male,High school graduate,Construction industry,Single-family home,no,42,59800,2
male,High school graduate,Construction industry,Officetel,no,10,206273,1
male,Doctorate,Repair industry,Townhouse,no,47,47600,2
female,Master's degree,Agriculture,Officetel,yes,19,258232,1
other,Master's degree,Insurance industry,Townhouse,yes,56,235911,0
other,Bachelor's degree,Electric power industry,Apartment,yes,65,98720,0
male,High school graduate,Repair industry,Single-family home,no,12,384137,3
male,Doctorate,Fishing industry,Single-family home,no,92,225639,2
other,Elementary school graduate,Service industry,Multi-family home,yes,85,337092,1
female,High school graduate,Construction industry,Apartment,yes,86,481288,3
female,Elementary school graduate,Fishing industry,Multi-family home,yes,28,249347,0
male,High school graduate,Mining,Multiple home,yes,19,496644,1
male,Doctorate,Service industry,Multi-family home,no,86,261093,1
female,Elementary school graduate,Retail industry,Apartment,yes,36,369617,2
male,Elementary school graduate,Construction industry,Multiple home,no,86,317848,2
other,Middle school graduate,Distribution industry,Single-family home,yes,85,475196,3
male,High school graduate,Mining,Multiple home,yes,19,496644,1
male,High school graduate,Service industry,Apartment,yes,94,161885,0
other,Master's degree,Broadcasting industry,Multi-family home,yes,23,34860,0
female,Elementary school graduate,Wholesale industry,Multi-family home,no,66,232935,3
other,High school graduate,Mining,Officetel,no,46,440952,0
female,Master's degree,Agriculture,Officetel,yes,91,275280,1
male,High school graduate,Maintenance industry,Multi-family home,no,56,241256,0
other,Master's degree,Fishing industry,Officetel,no,36,13059,2
male,Elementary school graduate,Fishing industry,Single-family home,no,9,206391,0
female,High school graduate,Mining,Apartment,yes,6,290872,0
female,Master's degree,Repair industry,Single-family home,no,42,393408,2
female,Bachelor's degree,Electric power industry,Townhouse,no,38,472211,1
female,Doctorate,Water industry,Multi-family home,no,10,147292,3
male,High school graduate,Insurance industry,Multiple home,no,35,134662,3
other,Bachelor's degree,Service industry,Townhouse,yes,93,437881,2
female,Middle school graduate,Repair industry,Multiple home,yes,19,117949,0
other,Master's degree,Wholesale industry,Apartment,no,60,322609,0
male,Bachelor's degree,Fishing industry,Single-family home,yes,50,348507,2
other,Middle school graduate,Maintenance industry,Multi-family home,yes,65,140991,3
female,Master's degree,Manufacturing industry,Multi-family home,yes,24,32497,2
female,Middle school graduate,Electric power industry,Multiple home,yes,40,259885,0
other,Doctorate,Maintenance industry,Single-family home,no,57,267600,2
other,Master's degree,Broadcasting industry,Multi-family home,yes,23,34860,0
male,Master's degree,Maintenance industry,Townhouse,yes,91,402759,0
male,Doctorate,Agriculture,Officetel,no,68,398445,0
male,Doctorate,Wholesale industry,Single-family home,no,82,200994,2
male,Middle school graduate,Finance industry,Apartment,no,9,410798,3
other,Doctorate,Retail industry,Multiple home,yes,47,361850,0
female,Middle school graduate,Construction industry,Apartment,no,39,401154,3
female,Bachelor's degree,Maintenance industry,Single-family home,no,89,475261,2
male,Master's degree,Gas industry,Single-family home,yes,2,368879,0
male,Elementary school graduate,Finance industry,Apartment,yes,22,241815,3
other,Master's degree,Fishing industry,Multiple home,yes,53,129813,2
female,High school graduate,Finance industry,Officetel,yes,28,165712,3
female,Bachelor's degree,Insurance industry,Townhouse,no,60,147345,0
female,High school graduate,Wholesale industry,Multiple home,yes,38,43055,1
other,Doctorate,Fishing industry,Townhouse,yes,37,298526,0
female,High school graduate,Finance industry,Multi-family home,yes,59,214471,0
other,Middle school graduate,Insurance industry,Multiple home,yes,27,158347,1
female,Elementary school graduate,Finance industry,Multi-family home,no,15,361306,1
other,Doctorate,Finance industry,Officetel,no,92,23806,2
female,Elementary school graduate,Insurance industry,Single-family home,no,50,225567,0
female,Bachelor's degree,Insurance industry,Single-family home,yes,12,452353,1
male,High school graduate,Maintenance industry,Multiple home,yes,84,95971,3
male,Middle school graduate,Manufacturing industry,Apartment,yes,57,43691,3
other,Middle school graduate,Maintenance industry,Multi-family home,no,73,322239,3
female,Bachelor's degree,Distribution industry,Multiple home,no,53,282277,1
other,Master's degree,Water industry,Multiple home,no,2,343153,0
female,Middle school graduate,Agriculture,Apartment,no,50,38946,1
male,Middle school graduate,Electric power industry,Multiple home,no,54,351607,2
male,High school graduate,Service industry,Officetel,yes,69,409225,0
female,Doctorate,Water industry,Multi-family home,no,10,147292,3
male,Bachelor's degree,Fishing industry,Multiple home,yes,29,275336,2
other,Middle school graduate,Maintenance industry,Multiple home,yes,55,210171,0
other,Master's degree,Distribution industry,Multi-family home,no,38,298520,0
other,Master's degree,Finance industry,Multiple home,no,11,77936,2
female,Bachelor's degree,Service industry,Single-family home,yes,36,160299,3
other,Middle school graduate,Insurance industry,Multiple home,yes,27,158347,1
female,Middle school graduate,Broadcasting industry,Multiple home,no,15,424552,3
other,Elementary school graduate,Fishing industry,Townhouse,no,97,120974,1
other,Bachelor's degree,Agriculture,Officetel,yes,11,233528,2
other,Master's degree,Construction industry,Multiple home,yes,36,427027,0
female,Bachelor's degree,Fishing industry,Single-family home,no,96,44533,3
female,Bachelor's degree,Insurance industry,Single-family home,yes,12,452353,1
male,High school graduate,Forestry,Townhouse,no,10,191113,0
male,Elementary school graduate,Fishing industry,Townhouse,yes,49,198081,1
female,High school graduate,Forestry,Officetel,yes,31,222689,3
other,Master's degree,Fishing industry,Multi-family home,no,75,227413,2
female,Middle school graduate,Gas industry,Townhouse,no,59,53285,3
male,High school graduate,Distribution industry,Multi-family home,no,91,443819,0
male,High school graduate,Insurance industry,Multi-family home,no,44,364920,0
other,Doctorate,Maintenance industry,Officetel,no,69,371800,2
male,Doctorate,Manufacturing industry,Multiple home,no,94,329636,0
female,High school graduate,Mining,Multi-family home,yes,77,428513,1
other,Master's degree,Retail industry,Single-family home,no,99,88976,0
female,Doctorate,Electric power industry,Multiple home,no,32,230661,3
female,Doctorate,Fishing industry,Multi-family home,no,49,88765,0
other,Bachelor's degree,Finance industry,Multiple home,no,21,303321,2
male,Elementary school graduate,Broadcasting industry,Single-family home,yes,86,129291,2
female,Master's degree,Fishing industry,Single-family home,yes,2,58014,3
male,Master's degree,Repair industry,Multiple home,yes,102,330248,1
female,Bachelor's degree,Water industry,Single-family home,yes,60,64564,3
male,Elementary school graduate,Fishing industry,Townhouse,yes,49,198081,1
male,Doctorate,Construction industry,Multi-family home,no,50,409420,1
female,Elementary school graduate,Distribution industry,Townhouse,no,67,423681,3
other,Elementary school graduate,Retail industry,Multiple home,yes,26,269940,0
female,Bachelor's degree,Electric power industry,Townhouse,no,38,472211,1
female,High school graduate,Mining,Multi-family home,yes,77,428513,1
male,Master's degree,Wholesale industry,Apartment,no,82,251745,3
male,Elementary school graduate,Finance industry,Multiple home,yes,87,452297,2
male,Doctorate,Maintenance industry,Multiple home,no,95,47922,1
female,Bachelor's degree,Agriculture,Officetel,no,6,170342,0
other,Doctorate,Agriculture,Officetel,no,50,120677,3
female,Middle school graduate,Forestry,Single-family home,no,71,22459,2
other,Elementary school graduate,Distribution industry,Multiple home,no,73,141074,1
male,High school graduate,Finance industry,Officetel,yes,61,286863,3
male,High school graduate,Maintenance industry,Single-family home,yes,79,486044,0
other,Middle school graduate,Broadcasting industry,Multiple home,no,41,235118,3
other,Bachelor's degree,Service industry,Multi-family home,yes,28,268612,3
female,Doctorate,Agriculture,Single-family home,no,90,62253,2
female,Master's degree,Service industry,Multi-family home,yes,83,167314,3
male,Doctorate,Service industry,Officetel,no,63,138113,1
other,Elementary school graduate,Wholesale industry,Multi-family home,no,98,353380,0
male,Elementary school graduate,Agriculture,Multiple home,yes,23,193156,0
male,High school graduate,Insurance industry,Multiple home,no,35,134662,3
female,Bachelor's degree,Fishing industry,Apartment,no,77,36230,1
male,Middle school graduate,Insurance industry,Apartment,yes,60,414319,0
male,Bachelor's degree,Service industry,Single-family home,no,79,292054,0
male,High school graduate,Fishing industry,Multi-family home,yes,53,98944,0
female,High school graduate,Electric power industry,Multi-family home,yes,56,245890,0
female,High school graduate,Service industry,Multi-family home,yes,18,169959,3
other,Elementary school graduate,Mining,Townhouse,yes,15,137462,2
other,Middle school graduate,Distribution industry,Multiple home,no,85,12354,2
other,Middle school graduate,Distribution industry,Single-family home,yes,85,475196,3
other,Bachelor's degree,Service industry,Officetel,no,47,274003,0
other,Master's degree,Distribution industry,Multi-family home,no,38,298520,0
male,Master's degree,Forestry,Officetel,no,25,173201,1
female,Bachelor's degree,Maintenance industry,Single-family home,no,89,475261,2
female,Doctorate,Manufacturing industry,Officetel,no,80,127683,1
other,Middle school graduate,Water industry,Multiple home,no,33,171833,3
female,Doctorate,Electric power industry,Officetel,yes,23,213618,0
other,High school graduate,Fishing industry,Multiple home,yes,56,36101,2
female,High school graduate,Retail industry,Single-family home,yes,97,405418,0
female,Bachelor's degree,Forestry,Single-family home,yes,16,341167,2
female,Middle school graduate,Finance industry,Multi-family home,yes,79,184448,2
other,Elementary school graduate,Fishing industry,Officetel,yes,31,79718,3
female,High school graduate,Fishing industry,Apartment,no,6,169724,3
other,Master's degree,Finance industry,Multiple home,no,11,77936,2
male,Master's degree,Wholesale industry,Multiple home,no,94,433754,1
female,High school graduate,Mining,Officetel,no,63,266195,0
male,Middle school graduate,Service industry,Single-family home,no,65,326027,2
male,Master's degree,Maintenance industry,Apartment,no,3,362759,1
male,Master's degree,Water industry,Multi-family home,no,63,332559,3
female,High school graduate,Fishing industry,Single-family home,yes,6,442820,3
other,Middle school graduate,Broadcasting industry,Multiple home,no,41,235118,3
male,Middle school graduate,Service industry,Single-family home,no,65,326027,2
female,Bachelor's degree,Retail industry,Officetel,yes,83,69424,3
male,Bachelor's degree,Finance industry,Multiple home,no,75,161121,0
female,Elementary school graduate,Maintenance industry,Apartment,no,88,367985,1
other,Doctorate,Water industry,Single-family home,yes,85,366188,3
female,Master's degree,Forestry,Single-family home,no,32,151301,3
male,Doctorate,Electric power industry,Multi-family home,yes,70,193877,0
female,High school graduate,Fishing industry,Officetel,no,58,476908,0
other,Bachelor's degree,Insurance industry,Multiple home,yes,87,101142,2
other,Elementary school graduate,Electric power industry,Single-family home,no,92,318919,3
other,Doctorate,Maintenance industry,Multiple home,yes,53,410669,3
male,High school graduate,Forestry,Townhouse,no,10,191113,0
female,Bachelor's degree,Service industry,Multiple home,yes,41,336383,2
female,High school graduate,Manufacturing industry,Townhouse,yes,64,86385,3
male,Middle school graduate,Electric power industry,Officetel,yes,79,309246,1
male,Middle school graduate,Retail industry,Multiple home,no,65,369787,1
male,Elementary school graduate,Water industry,Multi-family home,no,4,355070,2
female,Bachelor's degree,Repair industry,Multi-family home,yes,77,406681,1
male,Middle school graduate,Broadcasting industry,Apartment,no,80,435644,3
female,Elementary school graduate,Service industry,Multiple home,yes,1,454382,2
female,Middle school graduate,Finance industry,Apartment,yes,47,319334,2
female,Middle school graduate,Forestry,Townhouse,no,57,344321,0
male,Bachelor's degree,Retail industry,Single-family home,no,76,172772,2
male,Bachelor's degree,Broadcasting industry,Single-family home,yes,46,413632,3
female,Middle school graduate,Construction industry,Apartment,no,39,401154,3
female,Elementary school graduate,Manufacturing industry,Multi-family home,no,20,120575,2
other,Doctorate,Manufacturing industry,Apartment,no,16,71572,1
male,Doctorate,Fishing industry,Apartment,yes,74,264021,1
female,Doctorate,Construction industry,Single-family home,yes,40,17513,2
female,Elementary school graduate,Construction industry,Officetel,yes,89,420893,0
other,Middle school graduate,Wholesale industry,Townhouse,yes,41,217069,1
female,High school graduate,Gas industry,Apartment,no,39,99007,0
male,Doctorate,Mining,Single-family home,yes,36,73216,0
female,Bachelor's degree,Distribution industry,Single-family home,no,89,213789,1
other,Middle school graduate,Gas industry,Multiple home,yes,36,148052,0
female,Doctorate,Electric power industry,Multiple home,no,32,230661,3
male,Doctorate,Service industry,Multi-family home,no,86,261093,1
female,High school graduate,Gas industry,Multiple home,no,28,461376,0
other,Elementary school graduate,Service industry,Multi-family home,yes,85,337092,1
female,Bachelor's degree,Finance industry,Multiple home,yes,85,173992,1
other,Bachelor's degree,Insurance industry,Multi-family home,no,77,457181,3
male,High school graduate,Water industry,Apartment,no,69,119518,0
male,Bachelor's degree,Construction industry,Multi-family home,no,59,97366,2
other,Middle school graduate,Wholesale industry,Townhouse,yes,85,95088,1
female,High school graduate,Agriculture,Officetel,yes,90,204073,0
male,High school graduate,Gas industry,Multiple home,no,2,453369,3
male,Middle school graduate,Manufacturing industry,Apartment,yes,59,472103,3
other,Elementary school graduate,Insurance industry,Multiple home,no,16,297344,2
other,Master's degree,Finance industry,Multiple home,no,11,77936,2
other,Master's degree,Construction industry,Multiple home,yes,36,427027,0
other,Master's degree,Fishing industry,Multiple home,yes,53,129813,2
female,High school graduate,Water industry,Multiple home,yes,34,258342,3
other,Doctorate,Repair industry,Single-family home,yes,70,26887,1
other,Bachelor's degree,Retail industry,Officetel,no,11,190852,1
other,Doctorate,Gas industry,Multiple home,yes,4,400387,1
other,Bachelor's degree,Retail industry,Officetel,yes,89,248922,1
male,Master's degree,Distribution industry,Multiple home,no,36,185535,3
male,Master's degree,Maintenance industry,Multi-family home,yes,75,125983,3
female,Middle school graduate,Maintenance industry,Single-family home,yes,51,468197,2
female,Elementary school graduate,Manufacturing industry,Multiple home,yes,68,138419,0
male,Middle school graduate,Maintenance industry,Multi-family home,yes,24,260831,3
male,Middle school graduate,Finance industry,Apartment,no,9,410798,3
other,Bachelor's degree,Fishing industry,Multi-family home,yes,94,410590,1
female,Master's degree,Manufacturing industry,Officetel,no,17,253759,0
male,Elementary school graduate,Agriculture,Officetel,no,18,401487,3
female,Doctorate,Electric power industry,Multiple home,no,32,230661,3
other,Middle school graduate,Insurance industry,Officetel,no,71,132149,1
female,Elementary school graduate,Construction industry,Officetel,yes,89,420893,0
other,Master's degree,Maintenance industry,Townhouse,no,63,76008,3
other,Bachelor's degree,Retail industry,Single-family home,no,68,186279,2
male,Bachelor's degree,Electric power industry,Multi-family home,no,31,354610,0
female,Bachelor's degree,Fishing industry,Single-family home,no,96,44533,3
male,Elementary school graduate,Insurance industry,Officetel,no,7,15034,2
male,Bachelor's degree,Service industry,Multi-family home,no,75,286460,0
female,High school graduate,Manufacturing industry,Multi-family home,no,100,246915,3
female,Bachelor's degree,Broadcasting industry,Apartment,no,16,206929,2
female,Doctorate,Fishing industry,Single-family home,yes,12,322849,1
male,Doctorate,Fishing industry,Single-family home,no,92,225639,2
other,Bachelor's degree,Repair industry,Multiple home,no,58,233563,3
female,Master's degree,Repair industry,Multiple home,no,9,259078,2
male,Doctorate,Service industry,Multi-family home,no,86,261093,1
other,Master's degree,Broadcasting industry,Multi-family home,yes,23,34860,0
male,Doctorate,Manufacturing industry,Multiple home,no,94,329636,0
male,Elementary school graduate,Mining,Townhouse,yes,7,458862,0
other,High school graduate,Construction industry,Multi-family home,yes,49,36709,1
other,Middle school graduate,Distribution industry,Multiple home,no,85,12354,2
other,Elementary school graduate,Forestry,Multi-family home,no,2,467923,1
female,Middle school graduate,Electric power industry,Multiple home,yes,40,259885,0
female,Doctorate,Repair industry,Officetel,no,6,435977,3
male,Doctorate,Retail industry,Multiple home,no,48,359824,2
male,Bachelor's degree,Insurance industry,Townhouse,no,51,322908,0
male,High school graduate,Finance industry,Officetel,yes,61,286863,3
other,Bachelor's degree,Finance industry,Multiple home,no,21,303321,2
female,Doctorate,Manufacturing industry,Apartment,no,45,239391,1
other,Doctorate,Water industry,Single-family home,yes,85,366188,3
female,Master's degree,Wholesale industry,Townhouse,no,32,111435,0
female,Elementary school graduate,Manufacturing industry,Multi-family home,no,20,120575,2
male,Bachelor's degree,Retail industry,Single-family home,no,2,392190,0
other,Middle school graduate,Gas industry,Multiple home,no,88,154437,2
male,Middle school graduate,Finance industry,Officetel,yes,89,73496,2
female,Bachelor's degree,Broadcasting industry,Apartment,yes,2,349877,2
male,Master's degree,Wholesale industry,Multi-family home,yes,47,438335,1
male,Bachelor's degree,Distribution industry,Townhouse,no,95,36497,3
male,Master's degree,Electric power industry,Apartment,yes,47,62772,2
male,Bachelor's degree,Repair industry,Townhouse,no,57,378404,1
female,Master's degree,Maintenance industry,Single-family home,yes,11,429101,1
other,Doctorate,Construction industry,Single-family home,no,50,485436,1
female,Elementary school graduate,Construction industry,Officetel,yes,89,420893,0
female,Doctorate,Construction industry,Townhouse,yes,32,449434,3
other,Middle school graduate,Insurance industry,Officetel,no,71,132149,1
female,Middle school graduate,Finance industry,Multi-family home,yes,79,184448,2
female,Elementary school graduate,Repair industry,Multi-family home,no,23,43842,3
male,Bachelor's degree,Distribution industry,Multi-family home,yes,51,197957,1
other,Master's degree,Broadcasting industry,Multi-family home,yes,23,34860,0
male,Doctorate,Fishing industry,Single-family home,no,92,225639,2
male,High school graduate,Agriculture,Apartment,no,85,252567,2
male,Bachelor's degree,Repair industry,Townhouse,no,57,378404,1
other,High school graduate,Fishing industry,Townhouse,yes,14,148523,3
other,High school graduate,Fishing industry,Apartment,yes,62,11089,0
other,Master's degree,Fishing industry,Officetel,no,36,13059,2
female,Doctorate,Forestry,Officetel,yes,64,138347,2
other,Elementary school graduate,Fishing industry,Townhouse,no,11,288854,0
male,Elementary school graduate,Electric power industry,Officetel,yes,61,341560,1
male,Middle school graduate,Broadcasting industry,Apartment,no,80,435644,3
male,Master's degree,Fishing industry,Multi-family home,yes,80,278370,2
other,Bachelor's degree,Electric power industry,Multiple home,no,77,240507,1
female,Bachelor's degree,Mining,Multiple home,yes,72,152348,3
female,Doctorate,Broadcasting industry,Apartment,no,3,500374,2
other,Bachelor's degree,Distribution industry,Single-family home,no,91,215465,0
other,Doctorate,Forestry,Multiple home,yes,64,33888,3
other,Elementary school graduate,Construction industry,Officetel,yes,12,354964,3
female,Doctorate,Finance industry,Single-family home,no,38,171328,1
male,Elementary school graduate,Service industry,Multiple home,yes,43,101776,3
other,Master's degree,Insurance industry,Townhouse,yes,56,235911,0
other,Elementary school graduate,Fishing industry,Multi-family home,yes,61,296434,1
female,Doctorate,Gas industry,Officetel,no,77,396202,1
female,Master's degree,Mining,Multiple home,yes,26,172331,1
male,High school graduate,Repair industry,Multi-family home,yes,66,93760,1
male,Bachelor's degree,Distribution industry,Multi-family home,yes,51,197957,1
other,Middle school graduate,Insurance industry,Multiple home,no,99,391304,3
male,Middle school graduate,Manufacturing industry,Single-family home,yes,26,217162,1
male,Master's degree,Repair industry,Multiple home,no,34,31198,0
male,Master's degree,Fishing industry,Apartment,no,89,199654,2
female,High school graduate,Gas industry,Apartment,no,39,99007,0
male,Middle school graduate,Manufacturing industry,Multiple home,yes,28,48876,1
male,Master's degree,Electric power industry,Apartment,yes,47,62772,2
male,High school graduate,Service industry,Apartment,yes,94,161885,0
male,Bachelor's degree,Electric power industry,Multiple home,yes,31,451627,1
male,High school graduate,Mining,Apartment,no,21,92016,1
female,Bachelor's degree,Fishing industry,Multi-family home,yes,69,362014,1
other,Bachelor's degree,Electric power industry,Officetel,yes,94,279086,3
male,Bachelor's degree,Fishing industry,Townhouse,yes,64,10064,2
female,Middle school graduate,Fishing industry,Apartment,no,32,336609,3
female,High school graduate,Broadcasting industry,Multi-family home,yes,4,378826,3
male,Elementary school graduate,Electric power industry,Officetel,no,48,295334,1
male,Elementary school graduate,Insurance industry,Officetel,no,7,15034,2
female,Middle school graduate,Mining,Single-family home,yes,86,132164,1
other,Middle school graduate,Forestry,Officetel,yes,86,96563,2
other,Elementary school graduate,Fishing industry,Apartment,yes,86,43535,2
other,Elementary school graduate,Electric power industry,Single-family home,no,92,318919,3
female,Bachelor's degree,Maintenance industry,Single-family home,yes,45,403373,2
other,Elementary school graduate,Agriculture,Multiple home,no,44,344700,2
other,Elementary school graduate,Wholesale industry,Townhouse,yes,73,20737,3
female,Master's degree,Electric power industry,Officetel,yes,2,364323,1
female,High school graduate,Mining,Multi-family home,yes,54,471956,1
other,High school graduate,Distribution industry,Multiple home,no,54,344530,1
female,Elementary school graduate,Manufacturing industry,Multi-family home,no,20,120575,2
male,Middle school graduate,Mining,Multi-family home,yes,48,403546,1
female,Doctorate,Fishing industry,Townhouse,yes,36,54457,1
male,Elementary school graduate,Insurance industry,Officetel,no,7,15034,2
female,High school graduate,Retail industry,Single-family home,yes,97,405418,0
female,Bachelor's degree,Manufacturing industry,Officetel,yes,80,391334,2
female,High school graduate,Fishing industry,Officetel,no,76,33984,0
male,High school graduate,Insurance industry,Multi-family home,no,44,364920,0
other,Elementary school graduate,Service industry,Multi-family home,yes,85,337092,1
other,Middle school graduate,Forestry,Officetel,yes,86,96563,2
other,High school graduate,Construction industry,Multiple home,yes,85,498421,1
other,Doctorate,Finance industry,Officetel,yes,73,9520,3
other,Master's degree,Finance industry,Multiple home,no,11,77936,2
male,Elementary school graduate,Distribution industry,Multi-family home,no,23,376250,0
male,High school graduate,Water industry,Multiple home,no,87,145422,1
female,Master's degree,Manufacturing industry,Multi-family home,yes,24,32497,2
male,Bachelor's degree,Distribution industry,Multi-family home,yes,51,197957,1
female,Bachelor's degree,Insurance industry,Townhouse,no,60,147345,0
male,Bachelor's degree,Forestry,Multi-family home,yes,69,160464,3
other,Master's degree,Fishing industry,Officetel,yes,89,295961,1
male,High school graduate,Electric power industry,Single-family home,no,56,137744,0
female,Bachelor's degree,Wholesale industry,Townhouse,no,12,119492,1
other,Elementary school graduate,Fishing industry,Multi-family home,yes,14,96058,1
female,High school graduate,Fishing industry,Officetel,no,58,476908,0
male,High school graduate,Manufacturing industry,Apartment,yes,75,235872,1
male,Doctorate,Insurance industry,Apartment,no,42,328180,1
other,Elementary school graduate,Repair industry,Townhouse,yes,66,464076,3
female,Bachelor's degree,Broadcasting industry,Multi-family home,yes,15,89592,3
male,High school graduate,Fishing industry,Apartment,yes,88,86263,2
other,Bachelor's degree,Agriculture,Officetel,yes,11,233528,2
female,Bachelor's degree,Fishing industry,Multi-family home,yes,69,362014,1
male,Master's degree,Fishing industry,Multi-family home,yes,80,278370,2
male,High school graduate,Wholesale industry,Officetel,no,64,77494,2
female,High school graduate,Fishing industry,Townhouse,yes,59,196472,0
other,Bachelor's degree,Electric power industry,Officetel,yes,94,279086,3
female,Bachelor's degree,Wholesale industry,Townhouse,yes,82,113713,0
female,Bachelor's degree,Repair industry,Single-family home,no,74,302723,1
other,Elementary school graduate,Fishing industry,Multiple home,yes,14,255415,1
female,Bachelor's degree,Fishing industry,Multiple home,no,43,143512,1
other,Elementary school graduate,Service industry,Multi-family home,yes,85,337092,1
other,Doctorate,Service industry,Apartment,no,43,437552,0
other,Doctorate,Gas industry,Multiple home,yes,4,400387,1
female,Doctorate,Electric power industry,Apartment,yes,66,311089,0
male,Doctorate,Wholesale industry,Multi-family home,yes,16,197312,2
other,Middle school graduate,Gas industry,Multiple home,yes,36,148052,0
male,Bachelor's degree,Repair industry,Apartment,no,55,254636,0
male,High school graduate,Retail industry,Townhouse,yes,14,402662,0
female,Bachelor's degree,Manufacturing industry,Multiple home,yes,36,18934,0
male,Doctorate,Agriculture,Single-family home,no,12,432034,2
male,Master's degree,Repair industry,Multiple home,yes,102,330248,1
male,High school graduate,Agriculture,Apartment,no,79,277233,0
male,Bachelor's degree,Repair industry,Officetel,yes,27,386715,3
other,Doctorate,Retail industry,Multi-family home,yes,67,282530,1
other,Elementary school graduate,Mining,Multi-family home,yes,76,320310,2
male,Doctorate,Fishing industry,Single-family home,no,92,225639,2
male,Middle school graduate,Broadcasting industry,Apartment,yes,90,421958,1
male,Bachelor's degree,Retail industry,Multi-family home,yes,25,349178,0
male,Middle school graduate,Manufacturing industry,Apartment,yes,59,472103,3
female,Doctorate,Wholesale industry,Apartment,yes,58,34041,3
male,High school graduate,Wholesale industry,Officetel,no,64,77494,2
male,Master's degree,Distribution industry,Multiple home,no,36,185535,3
other,Bachelor's degree,Finance industry,Multiple home,no,33,353517,2
other,Middle school graduate,Fishing industry,Officetel,yes,67,179375,1
female,Doctorate,Water industry,Multiple home,no,63,62960,3
male,Master's degree,Maintenance industry,Multi-family home,yes,75,125983,3
male,Doctorate,Fishing industry,Multi-family home,no,17,117694,3
male,Doctorate,Fishing industry,Multiple home,no,46,273175,2
male,Bachelor's degree,Repair industry,Officetel,yes,27,386715,3
female,Bachelor's degree,Agriculture,Multiple home,no,94,194462,2
male,Bachelor's degree,Repair industry,Officetel,yes,27,386715,3
male,Middle school graduate,Distribution industry,Single-family home,yes,78,333316,3
female,High school graduate,Mining,Officetel,no,63,266195,0
male,Doctorate,Construction industry,Multi-family home,yes,30,163783,0
other,Master's degree,Forestry,Multi-family home,yes,59,210441,2
female,Elementary school graduate,Forestry,Single-family home,no,48,88124,0
female,High school graduate,Mining,Multi-family home,yes,54,471956,1
other,Middle school graduate,Distribution industry,Single-family home,yes,85,475196,3
female,Master's degree,Retail industry,Single-family home,no,42,102832,0
other,Elementary school graduate,Fishing industry,Townhouse,no,97,120974,1
other,Middle school graduate,Wholesale industry,Townhouse,yes,41,217069,1
other,High school graduate,Mining,Multiple home,no,64,360551,3
other,Elementary school graduate,Repair industry,Townhouse,no,62,50905,2
other,High school graduate,Electric power industry,Multi-family home,yes,7,34453,2
male,Elementary school graduate,Insurance industry,Townhouse,yes,19,113776,3
female,Bachelor's degree,Agriculture,Officetel,no,6,170342,0
other,Doctorate,Insurance industry,Multi-family home,yes,59,341711,1
male,Doctorate,Agriculture,Single-family home,no,12,432034,2
male,Doctorate,Repair industry,Townhouse,no,47,47600,2
male,Middle school graduate,Broadcasting industry,Multiple home,no,27,337432,1
male,Middle school graduate,Manufacturing industry,Apartment,yes,59,472103,3
male,Doctorate,Broadcasting industry,Multiple home,yes,76,64609,1
male,Middle school graduate,Broadcasting industry,Apartment,no,3,502154,2
other,Doctorate,Agriculture,Officetel,no,50,120677,3
other,Middle school graduate,Service industry,Single-family home,no,31,164558,3
male,High school graduate,Service industry,Apartment,yes,40,449420,3
male,Master's degree,Maintenance industry,Townhouse,yes,91,402759,0
male,High school graduate,Insurance industry,Multiple home,no,77,176160,2
female,Middle school graduate,Agriculture,Officetel,no,17,321581,1
male,Master's degree,Fishing industry,Multi-family home,yes,80,278370,2
other,Middle school graduate,Finance industry,Townhouse,yes,94,53490,1
other,High school graduate,Finance industry,Multiple home,no,6,506572,0
female,Doctorate,Service industry,Officetel,no,36,116996,1
